Current Education Level,Stream / Specialization,Latest Grade / CGPA,Technical / Hard Skills,Soft Skills,Personality Type,"Salary Expectation (Annual, in INR)",Certifications Obtained,Preferred Work Environment,Learning Style,Open to Relocating,Willingness to Pursue Higher Studies,Recommended Career Path
Diploma,Mechanical Engineering,8.04,"MATLAB, AutoCAD","Problem-Solving, Teamwork",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Com,Commerce,7.63,"SQL, Financial Modeling","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,Maybe,Yes,Financial Analyst
MBA,Finance,7.55,"Tableau, Financial Modeling, MS Excel","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,Maybe,Yes,Financial Analyst
B.Tech,Computer Science,9.76,"JavaScript, SQL, Git, Java","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working alone,Kinesthetic,Maybe,No,Software Developer
B.Com,Commerce,8.39,"Tableau, MS Excel, Financial Modeling","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,CFA,I prefer working alone,Read/Write,Maybe,Yes,Business Analyst
BBA,Marketing,7.93,"Google Analytics, SEO","Creativity, Leadership",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
B.Tech,Computer Science,8.54,"Java, Git","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working alone,Kinesthetic,Maybe,No,Software Developer
B.Tech,Computer Science,8.89,"Python, SQL, Git, JavaScript, Java","Teamwork, Problem-Solving",Introvert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,Software Developer
MBA,Commerce,9.13,"SQL, MS Excel, Financial Modeling, Tableau","Attention to Detail, Analytical Skills",Extrovert,4-8 LPA,No Certification,I prefer working alone,Visual,No,No,Financial Analyst
B.Des,Graphic Design,8.49,"Figma, Sketch, Adobe XD","Problem-Solving, Creativity",Ambivert,12+ LPA,No Certification,I like a mix of both,Visual,No,No,UI/UX Designer
B.Tech,Computer Science,9.15,"SQL, JavaScript, Git, Java","Problem-Solving, Teamwork",Introvert,12+ LPA,No Certification,I prefer working alone,Visual,Maybe,No,Software Developer
B.Des,Graphic Design,8.67,"Figma, Adobe Illustrator, Adobe Photoshop","Creativity, Attention to Detail",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,Yes,UI/UX Designer
M.Tech,Computer Science,9.21,"NLP, PyTorch, TensorFlow, Computer Vision, Python","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
MBA,Commerce,8.78,"Financial Modeling, MS Excel, SQL, Tableau","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,CFA,I prefer working alone,Visual,No,Yes,Financial Analyst
M.Tech,Computer Science,9.98,"TensorFlow, Python, Computer Vision, NLP","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
Diploma,Mechanical Engineering,7.46,"MATLAB, SolidWorks","Teamwork, Problem-Solving",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
MBA,Marketing,7.91,"Social Media Management, Digital Marketing","Communication, Creativity",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
M.Tech,Computer Science,9.23,"Python, SQL, Scikit-learn","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Des,Graphic Design,7.27,"Adobe Photoshop, Adobe Illustrator","Attention to Detail, Creativity",Introvert,Less than 4 LPA,No Certification,I prefer working alone,Kinesthetic,No,Yes,Graphic Designer
BBA,Marketing,7.28,"Social Media Management, Google Analytics, Digital Marketing, SEO","Communication, Leadership",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Auditory,Yes,No,Social Media Manager
M.Tech,Data Science,9.8,"TensorFlow, Scikit-learn, SQL, Python, R","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Tech,Data Science,9.36,"R, TensorFlow","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
M.Tech,Computer Science,9.1,"NLP, Computer Vision, PyTorch, TensorFlow, Python","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Human-Computer Interaction,7.96,"Sketch, Adobe XD, Figma, User Research","Empathy, Problem-Solving",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
B.Com,Commerce,8.39,"Financial Modeling, MS Excel","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,No Certification,I prefer working alone,Read/Write,No,Yes,Financial Analyst
B.Tech,Computer Science,9.35,"R, Python, SQL, Scikit-learn, TensorFlow","Problem-Solving, Critical Thinking",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
Diploma,Mechanical Engineering,8.2,"AutoCAD, MATLAB","Problem-Solving, Teamwork",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Tech,Computer Science,8.53,"Java, Python, Git, JavaScript, SQL","Teamwork, Problem-Solving",Introvert,8-12 LPA,No Certification,I prefer working alone,Visual,Yes,No,Software Developer
BBA,Marketing,8.56,"Digital Marketing, SEO","Creativity, Communication",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
B.Tech,Graphic Design,8.52,"User Research, Adobe XD, Sketch, Figma","Problem-Solving, Creativity",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
Diploma,Mechanical Engineering,7.2,"MATLAB, AutoCAD","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Human-Computer Interaction,7.66,"Sketch, Adobe XD, Figma","Problem-Solving, Creativity",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.Tech,Mechanical Engineering,8.12,"AutoCAD, SolidWorks","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
M.Tech,Computer Science,9.37,"TensorFlow, Python, Scikit-learn, SQL, R","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
Diploma,Mechanical Engineering,8.73,"MATLAB, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Civil Engineer
B.Tech,Data Science,8.54,"SQL, R, Scikit-learn","Critical Thinking, Problem-Solving",Introvert,12+ LPA,IBM Data Science,I prefer working alone,Visual,Yes,No,Data Scientist
M.Tech,Computer Science,9.09,"TensorFlow, Computer Vision","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Mechanical Engineering,8.29,"MATLAB, SolidWorks, AutoCAD","Problem-Solving, Teamwork",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
M.Tech,AI & ML,9.37,"TensorFlow, Python, Computer Vision, NLP, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Computer Science,9.08,"TensorFlow, Python, Scikit-learn, R, SQL","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,No,Data Scientist
BBA,Business Administration,8.4,"Digital Marketing, Google Analytics","Creativity, Leadership",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
B.Com,Commerce,9.0,"Financial Modeling, Tableau","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,CFA,I prefer working alone,Read/Write,No,No,Financial Analyst
MBA,Finance,7.92,"SQL, MS Excel","Analytical Skills, Attention to Detail",Extrovert,4-8 LPA,No Certification,I prefer working alone,Visual,Maybe,Yes,Financial Analyst
B.Com,Finance,7.99,"Financial Modeling, Tableau, SQL","Attention to Detail, Analytical Skills",Extrovert,8-12 LPA,No Certification,I prefer working alone,Read/Write,No,Yes,Financial Analyst
M.Tech,Computer Science,9.62,"NLP, TensorFlow, PyTorch, Python, Computer Vision","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
BBA,Marketing,8.24,"Digital Marketing, SEO, Google Analytics, Social Media Management","Creativity, Leadership",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Auditory,Maybe,No,Social Media Manager
B.A.,Fine Arts,8.7,"Adobe Illustrator, Figma, Adobe Photoshop","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,No Certification,I prefer working alone,Kinesthetic,No,No,Graphic Designer
B.Des,Fine Arts,8.6,"Adobe Illustrator, Figma","Creativity, Attention to Detail",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,Yes,UI/UX Designer
B.Tech,Computer Science,8.17,"SQL, Python, Git","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Coursera - Python for Everybody,I like a mix of both,Visual,Yes,No,Software Developer
B.Des,Human-Computer Interaction,7.65,"Sketch, Adobe XD, Figma, User Research","Creativity, Problem-Solving",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,No,No,UI/UX Designer
B.Tech,Mechanical Engineering,8.5,"SolidWorks, MATLAB","Teamwork, Problem-Solving",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Data Science,8.71,"R, Scikit-learn, TensorFlow","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,Data Scientist
B.Tech,Mechanical Engineering,8.79,"SolidWorks, MATLAB, AutoCAD","Problem-Solving, Teamwork",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Des,Fine Arts,7.02,"Adobe Illustrator, Adobe Photoshop","Creativity, Attention to Detail",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,Yes,Graphic Designer
MBA,Marketing,7.71,"Social Media Management, SEO","Leadership, Communication",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.Des,Graphic Design,7.44,"Adobe Illustrator, Adobe Photoshop, Figma","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,No Certification,I prefer working alone,Kinesthetic,No,Yes,Graphic Designer
B.Tech,Mechanical Engineering,8.66,"MATLAB, SolidWorks, AutoCAD","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Des,Fine Arts,7.69,"Adobe Photoshop, Adobe Illustrator, Figma","Attention to Detail, Creativity",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,Yes,Graphic Designer
B.Des,Fine Arts,6.86,"Adobe Illustrator, Figma","Creativity, Attention to Detail",Introvert,Less than 4 LPA,No Certification,I like a mix of both,Visual,No,Yes,Graphic Designer
BBA,Marketing,8.95,"Digital Marketing, Google Analytics, SEO, Social Media Management","Creativity, Communication",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Auditory,Maybe,No,Social Media Manager
M.Tech,Computer Science,8.83,"R, Python, TensorFlow, Scikit-learn, SQL","Problem-Solving, Critical Thinking",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Tech,Computer Science,8.32,"JavaScript, SQL, Python, Java, Git","Teamwork, Problem-Solving",Introvert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Yes,No,Data Scientist
BBA,Marketing,8.07,"Google Analytics, Digital Marketing, SEO","Communication, Leadership",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Social Media Manager
B.Des,Graphic Design,8.51,"User Research, Figma, Adobe XD, Sketch","Problem-Solving, Empathy",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
B.Com,Commerce,8.96,"SQL, Financial Modeling, MS Excel","Analytical Skills, Attention to Detail",Extrovert,8-12 LPA,CFA,I prefer working alone,Visual,Maybe,Yes,Financial Analyst
MBA,Commerce,8.09,"SQL, Tableau, MS Excel","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,CFA,I prefer working alone,Read/Write,No,No,Financial Analyst
M.Tech,Computer Science,8.66,"SQL, Scikit-learn","Problem-Solving, Critical Thinking",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,AI Specialist
MBA,Marketing,8.51,"Digital Marketing, Social Media Management, Google Analytics, SEO","Communication, Leadership",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
MBA,Marketing,8.2,"Social Media Management, SEO, Google Analytics, Digital Marketing","Communication, Creativity",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Auditory,Yes,No,Social Media Manager
MBA,Marketing,7.9,"SEO, Social Media Management, Google Analytics, Digital Marketing","Leadership, Communication",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
M.Tech,AI & ML,9.47,"Computer Vision, PyTorch, TensorFlow","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
Diploma,Mechanical Engineering,7.46,"MATLAB, AutoCAD, SolidWorks","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Tech,Human-Computer Interaction,8.46,"Adobe XD, Figma, Sketch","Creativity, Problem-Solving",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,No,No,Graphic Designer
B.Tech,Computer Science,8.47,"JavaScript, Python, Java, Git","Problem-Solving, Teamwork",Introvert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Maybe,No,Software Developer
B.Tech,Data Science,9.64,"TensorFlow, SQL","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,Yes,Data Scientist
